Team_ID,game_id,game_date,matchup,result,wins,losses,W_PCT,MIN,FGM,FGA,team_fg_pct,FG3M,FG3A,FG3_PCT,FTM,FTA,team_ft_pct,OREB,DREB,team_rebounds,team_assists,STL,BLK,team_turnovers,PF,team_points
1610612750,0022401195,"APR 13, 2025",MIN vs. UTA,W,49,33,0.598,240,46,98,0.469,13,43,0.302,11,16,0.688,17,37,54,23,9,9,13,16,116
1610612750,0022401179,"APR 11, 2025",MIN vs. BKN,W,48,33,0.593,240,42,77,0.545,11,31,0.355,22,29,0.759,7,41,48,27,5,5,12,15,117
1610612750,0022401170,"APR 10, 2025",MIN @ MEM,W,47,33,0.588,240,48,87,0.552,20,44,0.455,25,28,0.893,8,33,41,29,6,3,16,25,141
1610612750,0022401152,"APR 08, 2025",MIN @ MIL,L,46,33,0.582,240,41,89,0.461,13,40,0.325,8,9,0.889,10,32,42,25,4,3,13,20,103
1610612750,0022401130,"APR 05, 2025",MIN @ PHI,W,46,32,0.59,240,41,81,0.506,11,34,0.324,21,29,0.724,14,33,47,22,5,7,15,15,114
1610612750,0022401113,"APR 03, 2025",MIN @ BKN,W,45,32,0.584,240,39,78,0.5,13,42,0.31,14,21,0.667,10,35,45,27,6,10,17,13,105
1610612750,0022401102,"APR 01, 2025",MIN @ DEN,W,44,32,0.579,290,52,111,0.468,19,50,0.38,17,25,0.68,21,31,52,35,5,2,14,34,140
1610612750,0022401084,"MAR 30, 2025",MIN vs. DET,W,43,32,0.573,240,44,93,0.473,12,31,0.387,23,31,0.742,15,44,59,24,3,9,9,24,123
1610612750,0022401071,"MAR 28, 2025",MIN vs. PHX,W,42,32,0.568,240,47,89,0.528,19,39,0.487,11,13,0.846,12,31,43,31,12,4,11,18,124
1610612750,0022401037,"MAR 24, 2025",MIN @ IND,L,41,32,0.562,240,44,91,0.484,9,35,0.257,6,10,0.6,9,36,45,26,5,3,17,13,103
1610612750,0022401016,"MAR 21, 2025",MIN vs. NOP,W,41,31,0.569,240,48,89,0.539,19,44,0.432,19,20,0.95,10,26,36,40,14,1,13,17,134
1610612750,0022401001,"MAR 19, 2025",MIN vs. NOP,L,40,31,0.563,240,35,77,0.455,16,39,0.41,29,36,0.806,9,31,40,21,7,6,14,19,115
1610612750,0022400986,"MAR 17, 2025",MIN vs. IND,L,40,30,0.571,265,44,97,0.454,13,42,0.31,29,36,0.806,9,35,44,25,11,7,14,22,130
1610612750,0022400981,"MAR 16, 2025",MIN vs. UTA,W,40,29,0.58,240,48,97,0.495,14,43,0.326,18,26,0.692,16,33,49,30,14,6,9,16,128
1610612750,0022400963,"MAR 14, 2025",MIN vs. ORL,W,39,29,0.574,240,42,80,0.525,14,33,0.424,20,28,0.714,6,39,45,26,8,6,15,21,118
1610612750,0022400952,"MAR 12, 2025",MIN @ DEN,W,38,29,0.567,240,43,90,0.478,17,40,0.425,12,16,0.75,12,36,48,31,7,5,15,16,115
1610612750,0022400925,"MAR 09, 2025",MIN vs. SAS,W,37,29,0.561,240,53,95,0.558,21,42,0.5,14,15,0.933,14,28,42,38,7,4,12,17,141
1610612750,0022400907,"MAR 07, 2025",MIN @ MIA,W,36,29,0.554,240,40,81,0.494,18,45,0.4,8,14,0.571,7,36,43,28,6,6,13,12,106
1610612750,0022400892,"MAR 05, 2025",MIN @ CHA,W,35,29,0.547,240,44,90,0.489,21,49,0.429,16,22,0.727,10,33,43,27,9,3,5,17,125
1610612750,0022400887,"MAR 04, 2025",MIN vs. PHI,W,34,29,0.54,240,46,81,0.568,18,40,0.45,16,17,0.941,7,30,37,29,7,5,17,21,126
1610612750,0022400873,"MAR 02, 2025",MIN @ PHX,W,33,29,0.532,240,39,92,0.424,21,52,0.404,17,21,0.81,5,30,35,28,18,2,8,17,116
1610612750,0022400858,"FEB 28, 2025",MIN @ UTA,L,32,29,0.525,240,44,101,0.436,20,52,0.385,8,14,0.571,11,29,40,35,17,4,7,13,116
1610612750,0022400849,"FEB 27, 2025",MIN @ LAL,L,32,28,0.533,240,35,84,0.417,12,41,0.293,20,26,0.769,10,31,41,25,9,3,10,29,102
1610612750,0022400826,"FEB 24, 2025",MIN @ OKC,W,32,27,0.542,265,44,97,0.454,9,32,0.281,34,39,0.872,11,43,54,29,6,5,13,23,131
1610612750,0022400820,"FEB 23, 2025",MIN vs. OKC,L,31,27,0.534,240,39,89,0.438,18,45,0.4,27,28,0.964,15,29,44,23,6,5,13,22,123
1610612750,0022400801,"FEB 21, 2025",MIN @ HOU,L,31,26,0.544,240,41,92,0.446,11,38,0.289,22,26,0.846,7,28,35,22,10,6,9,22,115
1610612750,0022400787,"FEB 13, 2025",MIN vs. OKC,W,31,25,0.554,240,42,99,0.424,12,46,0.261,20,22,0.909,20,34,54,28,5,2,8,17,116
1610612750,0022400776,"FEB 12, 2025",MIN vs. MIL,L,30,25,0.545,240,39,103,0.379,10,44,0.227,13,15,0.867,15,44,59,27,4,6,13,13,101
1610612750,0022400755,"FEB 10, 2025",MIN @ CLE,L,30,24,0.556,240,36,90,0.4,12,39,0.308,23,30,0.767,15,26,41,17,10,6,16,19,107
1610612750,0022400747,"FEB 08, 2025",MIN vs. POR,W,30,23,0.566,240,43,82,0.524,10,28,0.357,18,28,0.643,8,35,43,23,8,2,14,18,114
1610612750,0022400729,"FEB 06, 2025",MIN vs. HOU,W,29,23,0.558,240,45,94,0.479,16,39,0.41,21,24,0.875,18,29,47,23,5,6,13,21,127
1610612750,0022400723,"FEB 05, 2025",MIN vs. CHI,W,28,23,0.549,240,42,98,0.429,20,47,0.426,23,28,0.821,23,36,59,27,6,8,11,15,127
